,Unnamed: 0,tileID,normRFP_mean,lognormRFP_mean,normRFP_std,lognormRFP_std
0,0,A1,0.1935675114865870,-2.560759139166020,0.0912005395829949,0.8252943466637590
1,1,A8,0.2900548391877870,-1.968191280652640,0.1422649430712650,0.7798212765420140
2,2,B2,0.0661034533866903,-4.035423234309010,0.0287271728340406,0.5918285089165000
3,3,B7,0.1997925003705350,-2.8741253117843400,0.2427993793181070,1.1458760412223900
4,4,B9,0.1879353786868240,-2.643816242740200,0.0970108838039951,0.8958079587224480
5,5,C8,0.1261301319104790,-3.159825425672140,0.0627591441483774,0.7509652481745670
6,6,D1,0.0696605898918037,-4.014153752596670,0.0441881946716929,0.6517603499491850
7,7,D7,0.4456795612864980,-1.3724475333930800,0.2476541947148500,0.8007749307698330
8,8,E7,0.0729212983548243,-3.9343194943831800,0.0358397533270173,0.6913292375501520
9,9,E8,0.0663998814287831,-4.012905071843870,0.0259609331100397,0.5499851207971260
10,10,F7,0.4046242774566470,-1.7714243934562400,0.2725145277940750,1.391051431958920
11,11,F8,0.0721802282495924,-3.931819510953490,0.0328847744039494,0.6558300309127700
12,12,G5,0.0818141396176078,-3.7598420064098300,0.036944188739657,0.6923236376060580
13,13,G8,0.0895212687120201,-3.6060762415558500,0.0369580370670124,0.6288600204912920
14,14,H7,0.4284867348451160,-1.4026012239787100,0.1870635790461940,0.8134730984161880
15,15,H8,0.581147176522899,-1.0516269027865900,0.3154910862388080,0.9852782143330140
16,16,NH72,0.1090855194901440,-3.300068237155840,0.0428314235118922,0.5642068447912020
18,18,reporter alone,1.0000000000000000,-0.4238193823891660,0.6884045977386860,1.2416133889962100
3,3,A9,0.6459259259259260,-0.748330692096641,0.2547215718340100,0.6257313027570640
6,6,B8,2.2133333333333300,1.094863993250800,0.5857390170361130,0.4062574831525990
8,8,C5,336.62814814814800,8.298643890286840,93.66780281372360,0.6536623876555980
10,10,C9,1.0133333333333300,-0.0789009304126841,0.3748986791225640,0.5556769389904990
12,12,D5,0.6370370370370370,-0.808341909908424,0.3052672436584630,0.7053577449917960
13,13,E5,211.5288888888890,7.555512878799280,85.27072261889020,0.821161771654345
16,16,EV ,0.6715151515151520,-0.7932363849141350,0.3411662650298540,0.8979166668257070
23,23,NH2,15.125925925925900,3.798948829189060,6.973329917477100,0.5796404850999210
24,24,NH20,340.9985185185190,8.366661217636370,87.72565541096830,0.3849282993805410
25,25,NH28,9.155555555555550,2.813448656817370,6.327749034462200,1.1432920218657600
26,26,NH31,62.99851851851850,5.400573033343620,45.506825778638400,1.5974055575176200
27,27,NH32,106.65777777777800,5.876606859510050,103.1162292622020,1.746761489030660
28,28,NH39,234.7170370370370,7.712461612737480,101.50015489790700,0.7624288419245470
29,29,NH44,245.9022222222220,7.6365162329164300,151.83350881804700,1.0284154225530500
30,30,NH45,36.53925925925930,4.75866342270925,23.464669354494600,1.351742290778480
31,31,NH64,114.23407407407400,6.549628769475000,59.78439523106780,1.08316859153978
32,32,NH68,193.55851851851900,7.577021683333620,33.46694379664610,0.2425128060666410
34,34,NH74,147.3125925925930,6.224704451919670,133.0735701947850,1.9419567034001400
35,35,NH8,10.752592592592600,2.95927932202575,7.967098647370660,1.3135570907706000
36,36,NH80,3.851851851851850,1.417401417644790,5.436171064825140,1.0529028938966200
37,37,NH92,1.887407407407410,0.8356088059095760,0.7155742294482100,0.4826718086993590
38,38,NH93,42.2637037037037,4.914123731097280,33.11712391779790,1.280082668939350
39,39,NH96,132.15407407407400,6.440198138361760,97.98901560126010,1.5897740653861800