tax_id,tile_ID
10640.0,0.3333333333333333
10641.0,0.75
10649.0,1.0
10653.0,0.25
10654.0,0.5
10826.0,0.0
10840.0,0.5714285714285714
11307.0,1.0
12042.0,1.0
12045.0,1.0
12138.0,0.5
12161.0,1.0
12162.0,0.0
12166.0,0.3333333333333333
12167.0,1.0
12169.0,0.0
12173.0,0.0
12177.0,1.0
12178.0,1.0
12179.0,0.6
12180.0,1.0
12182.0,1.0
12183.0,0.5
12187.0,0.5
12188.0,0.3333333333333333
12194.0,0.4
12197.0,0.0
12202.0,0.5
12203.0,1.0
12204.0,1.0
12205.0,0.0
12208.0,0.25
12209.0,0.5
12211.0,1.0
12215.0,0.0
12216.0,0.5
12222.0,1.0
12224.0,0.5
12227.0,1.0
12228.0,0.0
12230.0,0.3333333333333333
12232.0,1.0
12430.0,0.0
12431.0,0.5
12433.0,0.0
12458.0,1.0
12471.0,0.0
12472.0,0.4
12473.0,0.0
12777.0,1.0
12844.0,0.75
28347.0,0.0
29271.0,0.5
31722.0,1.0
31741.0,0.7142857142857143
31744.0,0.6666666666666666
32612.0,0.5
32619.0,0.7777777777777778
32624.0,0.25
33765.0,0.0
35287.0,0.0
35288.0,0.75
35289.0,0.5
35290.0,0.6
38062.0,0.6666666666666666
40640.0,0.5
40666.0,0.75
40687.0,0.3333333333333333
40979.0,0.0
41459.0,0.6666666666666666
42004.0,0.5
42631.0,0.0
42882.0,0.0
43130.0,0.0
43240.0,1.0
45661.0,0.0
46076.0,1.0
46619.0,0.8571428571428571
46917.0,0.0
47903.0,0.5
48200.0,0.3333333333333333
51354.0,0.0
51680.0,0.3333333333333333
52280.0,0.3333333333333333
52996.0,0.0
53010.0,1.0
53181.0,0.0
53260.0,0.0
53954.0,0.5
55951.0,0.3333333333333333
57119.0,0.0
59380.0,0.75
59504.0,1.0
62059.0,0.625
64003.0,1.0
65467.0,0.25
66200.0,1.0
67761.0,0.0
70177.0,0.0
71030.0,0.0
71032.0,1.0
73423.0,0.3333333333333333
75387.0,0.75
78395.0,0.5
81877.0,0.5
82791.0,1.0
85454.0,1.0
87097.0,0.5
91613.0,0.25
91753.0,1.0
94290.0,0.0
101764.0,0.5
104389.0,0.8333333333333334
104390.0,0.0
104392.0,0.5
104637.0,1.0
112227.0,0.3333333333333333
112228.0,0.6
112229.0,0.5714285714285714
112437.0,0.25
114892.0,0.5
114921.0,0.5
114922.0,0.6666666666666666
123735.0,0.0
128818.0,0.7
129141.0,0.4
129732.0,0.5
131082.0,0.5
131083.0,1.0
137475.0,1.0
137758.0,0.7142857142857143
138982.0,0.5
146500.0,1.0
148879.0,0.6666666666666666
150284.0,1.0
154339.0,0.4166666666666667
156690.0,0.5
157270.0,0.0
157777.0,1.0
160842.0,0.5
160843.0,0.0
160844.0,1.0
163655.0,0.25
165250.0,0.5
167129.0,0.7
167634.0,0.8
168135.0,0.0
172394.0,0.0
174178.0,0.3333333333333333
178354.0,1.0
180903.0,0.0
183585.0,0.42857142857142855
187977.0,0.4
187978.0,1.0
193121.0,0.5
195059.0,1.0
195060.0,0.4
196400.0,0.0
201862.0,0.0
203168.0,0.0
204478.0,0.0
206392.0,0.6666666666666666
213888.0,1.0
216614.0,0.6
217615.0,0.5
217686.0,0.5
218923.0,0.2
220608.0,0.0
221054.0,0.3333333333333333
221262.0,0.4
222460.0,0.0
223334.0,0.75
223337.0,0.4
223344.0,1.0
224578.0,0.0
225752.0,1.0
227137.0,0.0
228582.0,1.0
240492.0,1.0
240865.0,0.0
241651.0,0.6666666666666666
253700.0,0.0
253701.0,0.75
253702.0,0.6666666666666666
255066.0,0.6666666666666666
262957.0,0.6
263004.0,0.6666666666666666
263892.0,1.0
264076.0,1.0
265877.0,1.0
268316.0,0.6666666666666666
270478.0,0.4
279896.0,0.0
282712.0,1.0
290030.0,0.75
291286.0,1.0
292627.0,1.0
299200.0,0.0
300740.0,0.5
301865.0,0.6666666666666666
305785.0,1.0
307110.0,0.0
310749.0,0.6
317027.0,1.0
320856.0,0.6666666666666666
322053.0,1.0
323118.0,0.3333333333333333
326941.0,0.0
328430.0,0.3333333333333333
328670.0,1.0
328671.0,0.7142857142857143
329048.0,1.0
329164.0,0.0
332471.0,0.5
334778.0,0.45454545454545453
335963.0,0.4
337823.0,0.6666666666666666
337824.0,0.0
337826.0,0.0
348823.0,0.6666666666666666
348894.0,0.5
351426.0,0.0
351428.0,0.0
354328.0,0.625
360579.0,1.0
362692.0,1.0
362693.0,0.0
365150.0,0.3333333333333333
367061.0,0.0
367121.0,0.5
367682.0,0.6666666666666666
369752.0,1.0
373398.0,1.0
373861.0,1.0
375546.0,0.3333333333333333
377610.0,0.0
379728.0,0.0
380669.0,0.6666666666666666
387423.0,0.3333333333333333
390439.0,1.0
390849.0,1.0
394036.0,1.0
397544.0,1.0
399314.0,1.0
400394.0,0.5
400396.0,1.0
404404.0,0.8
405558.0,0.7142857142857143
414528.0,1.0
417192.0,1.0
417288.0,1.0
418827.0,0.0
419782.0,1.0
421010.0,0.3333333333333333
421013.0,0.5
424679.0,1.0
429130.0,1.0
429564.0,0.0
430059.0,0.0
431317.0,0.5
433357.0,0.5
435486.0,1.0
436007.0,0.4
436066.0,0.5
443746.0,0.0
447600.0,1.0
447603.0,1.0
447604.0,0.75
447605.0,0.0
453050.0,0.0
457382.0,1.0
471285.0,0.6666666666666666
471498.0,0.0
471717.0,0.0
474454.0,0.0
475777.0,0.6666666666666666
478550.0,0.5
488317.0,0.5
496807.0,1.0
497863.0,1.0
501328.0,0.0
508750.0,1.0
515320.0,0.7
515446.0,1.0
515575.0,0.42857142857142855
520848.0,0.0
524023.0,0.3333333333333333
543876.0,0.0
549205.0,0.25
551003.0,0.0
551454.0,1.0
565624.0,0.0
572239.0,0.0
573615.0,1.0
587370.0,1.0
587620.0,1.0
588752.0,0.0
590403.0,1.0
591160.0,0.0
592206.0,1.0
596957.0,1.0
640136.0,0.5
646010.0,0.6666666666666666
647294.0,0.6666666666666666
653358.0,0.0
656190.0,1.0
658650.0,1.0
670251.0,1.0
670883.0,0.0
671095.0,0.0
671126.0,1.0
674996.0,0.2
675077.0,0.5
680112.0,0.25
681518.0,0.0
685899.0,0.5
688540.0,1.0
693892.0,0.0
715480.0,1.0
761701.0,0.25
796352.0,0.3333333333333333
859650.0,0.6
875324.0,0.5
887825.0,1.0
887827.0,0.4444444444444444
908028.0,0.5
911574.0,0.0
930168.0,0.5
930881.0,0.6666666666666666
936005.0,1.0
937809.0,0.9090909090909091
940280.0,1.0
940846.0,0.3333333333333333
944994.0,0.0
945960.0,0.6923076923076923
946046.0,1.0
998864.0,0.0
1001341.0,0.5
1003891.0,0.5
1010616.0,1.0
1016852.0,0.6
1016853.0,1.0
1016854.0,0.6363636363636364
1016855.0,0.7142857142857143
1016856.0,0.7
1016857.0,0.8
1030595.0,1.0
1031708.0,1.0
1032457.0,1.0
1034096.0,0.25
1046402.0,0.6
1046403.0,1.0
1046574.0,0.5
1048434.0,0.75
1051792.0,1.0
1072517.0,1.0
1072672.0,0.0
1080799.0,0.5
1081702.0,0.0
1133751.0,0.0
1168550.0,0.5
1176153.0,0.6666666666666666
1177751.0,0.6666666666666666
1177752.0,1.0
1177753.0,0.2
1188792.0,0.0
1188793.0,0.4444444444444444
1198144.0,0.3333333333333333
1198219.0,0.0
1200971.0,0.8333333333333334
1211388.0,0.6
1211480.0,0.5
1218727.0,1.0
1220025.0,1.0
1221449.0,1.0
1225069.0,1.0
1231334.0,0.0
1239452.0,0.3
1243178.0,0.6666666666666666
1247115.0,0.25
1266993.0,0.7142857142857143
1301220.0,0.5
1302848.0,1.0
1302850.0,1.0
1306546.0,0.5
1324128.0,0.25
1367218.0,0.0
1383052.0,0.0
1392388.0,1.0
1400526.0,0.0
1406816.0,0.3333333333333333
1414644.0,1.0
1417304.0,0.3333333333333333
1418029.0,0.0
1425363.0,0.5
1428189.0,1.0
1432563.0,0.75
1432565.0,1.0
1453083.0,0.0
1459800.0,1.0
1462681.0,0.0
1468454.0,0.6
1471299.0,1.0
1472425.0,1.0
1476485.0,0.6666666666666666
1476909.0,0.6
1489312.0,0.0
1492296.0,0.0
1493829.0,0.0
1497848.0,0.3333333333333333
1505530.0,0.6666666666666666
1507984.0,0.0
1512278.0,0.5
1513529.0,0.5
1514896.0,0.75
1543207.0,0.0
1547577.0,0.0
1564903.0,0.6666666666666666
1568974.0,0.0
1569055.0,0.0
1569056.0,0.0
1577997.0,0.75
1592930.0,1.0
1608257.0,0.0
1619899.0,0.3333333333333333
1667230.0,0.0
1679239.0,1.0
1688637.0,1.0
1692045.0,1.0
1702121.0,0.6666666666666666
1711684.0,1.0
1711685.0,0.3333333333333333
1719047.0,0.25
1720595.0,0.6666666666666666
1766828.0,0.5
1770265.0,0.6153846153846154
1770618.0,0.0
1774276.0,0.0
1775456.0,0.3333333333333333
1775963.0,1.0
1776177.0,0.3333333333333333
1777016.0,0.42857142857142855
1808970.0,0.75
1815581.0,0.0
1825924.0,0.75
1830242.0,1.0
1848040.0,0.6666666666666666
1853762.0,0.6363636363636364
1856031.0,0.75
1862127.0,0.0
1868472.0,0.0
1868659.0,0.6666666666666666
1881013.0,1.0
1881630.0,1.0
1886606.0,0.6666666666666666
1890365.0,0.5
1899566.0,0.0
1904884.0,0.7142857142857143
1905830.0,1.0
1906317.0,0.16666666666666666
1913024.0,0.3333333333333333
1913125.0,1.0
1914900.0,1.0
1919062.0,0.0
1921009.0,0.5
1923137.0,0.5
1925153.0,0.5833333333333334
1940252.0,1.0
1955054.0,1.0
1955730.0,0.6666666666666666
1959287.0,0.5
1960252.0,0.5714285714285714
1960253.0,0.5454545454545454
1960255.0,1.0
1960887.0,0.8571428571428571
1963256.0,0.2
1963260.0,0.8333333333333334
1965225.0,0.0
1965306.0,1.0
1965355.0,0.0
1972716.0,0.75
1972994.0,0.0
1973265.0,0.6666666666666666
1977392.0,0.6666666666666666
1978413.0,0.0
1982660.0,0.8571428571428571
1985699.0,0.5
1987360.0,0.2222222222222222
1993907.0,0.5
2005044.0,0.0
2006498.0,1.0
2010319.0,1.0
2010326.0,0.7142857142857143
2010332.0,0.0
2011125.0,0.5
2013968.0,0.5
2016034.0,0.0
2016426.0,1.0
2018312.0,1.0
2018313.0,1.0
2019445.0,0.6
2020286.0,1.0
2020956.0,1.0
2021667.0,0.0
2024724.0,0.5
2030909.0,0.6666666666666666
2033633.0,0.6
2040662.0,1.0
2049944.0,0.8
2050583.0,1.0
2050584.0,0.6666666666666666
2050589.0,0.0
2052838.0,0.0
2054409.0,0.7692307692307693
2056878.0,1.0
2056879.0,0.3333333333333333
2056880.0,1.0
2056881.0,0.0
2056882.0,0.6666666666666666
2056883.0,0.0
2056885.0,1.0
2057979.0,0.0
2058396.0,0.5
2060142.0,0.16666666666666666
2060511.0,0.5
2070152.0,0.5
2074132.0,1.0
2093224.0,1.0
2093273.0,0.5
2093275.0,0.5
2093276.0,1.0
2093496.0,0.6666666666666666
2116736.0,0.3333333333333333
2136283.0,0.8333333333333334
2137858.0,1.0
2152660.0,0.0
2169693.0,1.0
2169727.0,0.5
2169728.0,0.0
2169732.0,0.0
2169736.0,0.0
2169739.0,0.0
2169740.0,1.0
2169908.0,0.0
2169987.0,0.0
2170100.0,1.0
2170101.0,1.0
2170132.0,0.6
2170240.0,0.0
2170538.0,1.0
2170544.0,0.0
2172094.0,0.6666666666666666
2175329.0,1.0
2184469.0,0.8
2185086.0,0.5
2200955.0,0.5
2201042.0,0.0
2202146.0,0.0
2212477.0,1.0
2219873.0,0.0
2248770.0,0.0
2267679.0,0.5
2268393.0,0.6666666666666666
2283388.0,0.5
2283800.0,1.0
2291614.0,1.0
2293720.0,0.8
2294149.0,1.0
2303411.0,0.5
2303485.0,1.0
2306727.0,0.5
2316740.0,0.0
2338394.0,0.6666666666666666
2338396.0,1.0
2340808.0,0.5
2364291.0,0.0
2419797.0,0.0
2419804.0,0.8333333333333334
2487100.0,0.875
2491019.0,1.0
2494552.0,0.6666666666666666
2497337.0,0.5
2510428.0,1.0
2518104.0,0.5
2528410.0,1.0
2560282.0,1.0
2560349.0,1.0
2560371.0,0.8
2560401.0,0.625
2560515.0,1.0
2560811.0,0.0
2560813.0,0.0
2562807.0,0.5
2588671.0,0.5
2591696.0,1.0
2608606.0,1.0
2664236.0,0.3333333333333333
2676436.0,0.7
2706523.0,1.0
2730579.0,1.0
2731270.0,0.75
2734556.0,0.0
2908018.0,1.0
3051985.0,0.6666666666666666
3052813.0,0.0
3158378.0,0.25
3240217.0,0.0
3240745.0,1.0
3241188.0,0.5714285714285714
