tax_id,genome_structure
1312723,ssDNA
101764,ssRNA(+)
2560282,ssRNA(+)
2024724,ssRNA(+)
3240217,ssRNA(+)
3240218,ssRNA(+)
3240745,ssRNA(+)
1963256,ssRNA(+)
387423,ssRNA(+)
1705092,ssDNA
1260769,ssDNA
188333,ssDNA
1175505,ssDNA
635076,ssDNA
2182585,ssDNA
298650,ssDNA
187850,ssDNA
185750,ssDNA
1454227,ssDNA
222078,ssDNA
1329380,ssDNA
437063,ssDNA
437061,ssDNA
2010316,ssDNA
915293,ssDNA
222441,ssDNA
1512278,dsDNA
2491018,ssRNA(+)
998864,ssRNA(-)
1770265,ssRNA(+)
165250,ssRNA(+)
1306546,ssDNA
2170538,ssRNA(+)
1985968,ssRNA(+)
515575,ssRNA(+)
452758,ssDNA
2058778,dsRNA
2058779,dsRNA
317027,ssRNA(+)
2212477,ssRNA(+)
260374,ssRNA(+)
316983,ssRNA(+)
429130,ssRNA(+)
85454,ssRNA(+)
447606,ssDNA
337826,ssDNA
241651,ssRNA(+)
1417304,ssRNA(+)
3158378,ssRNA(+)
73819,ssRNA(+)
1296569,ssRNA(+)
1476485,ssDNA
1738045,ssDNA
1808970,dsDNA
436007,ssRNA(+)
352882,ssRNA(+)
2065797,dsRNA
168135,ssRNA(+)
12175,ssRNA(+)
1211388,ssRNA(+)
2170544,ssRNA(+)
28347,ssRNA(+)
35350,ssRNA(+)
75387,ssRNA(+)
307677,ssRNA(+)
3241188,ssRNA(+)
1921009,ssRNA(+)
2282642,Unknown
2306727,ssRNA(+)
2306623,ssRNA(+)
1654603,ssRNA(+)
405558,ssRNA(+)
2201042,ssRNA(+)
1972716,ssRNA(+)
1133751,ssRNA(+)
46076,ssRNA(+)
12142,ssRNA(+)
348894,ssRNA(+)
1027880,ssRNA(+)
351427,ssRNA(+)
351426,ssRNA(+)
351428,ssRNA(+)
443746,ssRNA(+)
1711685,dsDNA
1702121,ssRNA(+)
1476487,ssDNA
2060511,ssRNA(+)
3051985,dsDNA
35286,ssRNA(+)
190811,Unknown
45661,ssRNA(+)
2169723,ssDNA
1016852,dsDNA
328670,dsDNA
1016853,dsDNA
1476909,dsDNA
328671,dsDNA
1016854,dsDNA
1016855,dsDNA
1016856,dsDNA
1016857,dsDNA
334778,dsDNA
1411991,dsDNA
148879,ssRNA(+)
2170132,ssRNA(+)
1825924,ssRNA(+)
224578,ssRNA(+)
2169987,ssRNA(+)
2169988,ssRNA(+)
2169985,ssRNA(+)
2169981,ssRNA(+)
373398,ssRNA(+)
1227355,ssDNA
43240,ssRNA(+)
12196,ssRNA(+)
12041,ssRNA(+)
2169732,ssDNA
57119,ssDNA
714310,ssDNA
12197,ssRNA(+)
196375,ssRNA(+)
131082,ssRNA(+)
391228,ssDNA
10840,ssDNA
156690,ssRNA(+)
114921,ssRNA(+)
12042,ssRNA(+)
35290,ssRNA(+)
12161,ssRNA(+)
588752,ssRNA(+)
12149,ssRNA(+)
1982660,ssRNA(+)
1720595,ssRNA(+)
354328,dsRNA
368735,ssRNA(+)
1930269,ssRNA(+)
186371,ssDNA
591160,ssDNA
587620,ssDNA
658650,ssDNA
908028,ssDNA
759124,ssDNA
908072,ssDNA
120168,ssDNA
1841147,ssDNA
320856,ssRNA(+)
433357,ssRNA(+)
2057979,dsDNA
1381464,ssRNA(+)
2185086,ssRNA(+)
1043184,ssRNA(+)
2560349,dsDNA
670883,ssRNA(+)
323118,ssRNA(+)
2338394,ssRNA(+)
1441796,ssDNA
2560350,ssDNA
430710,dsRNA
38172,ssRNA(+)
172220,dsDNA
31722,ssRNA(+)
1206566,ssRNA(+)
1072517,ssRNA(+)
361697,ssDNA
263892,dsDNA
2419797,ssRNA(+)
1046403,ssRNA(+)
42631,ssRNA(+)
1590154,Unknown
1590155,Unknown
1590172,Unknown
936005,ssDNA
402399,ssRNA(+)
1239452,ssRNA(+)
487155,ssRNA(+)
456390,ssRNA(+)
2051550,ssRNA(-)
2056878,dsDNA
1940252,dsDNA
1960255,dsDNA
2056879,dsDNA
2056880,dsDNA
2056881,dsDNA
2056882,dsDNA
2056883,dsDNA
2056884,dsDNA
2056885,dsDNA
2056886,dsDNA
1960254,dsDNA
31559,dsDNA
12150,ssRNA(+)
2169726,dsDNA
229030,ssRNA(+)
112227,ssRNA(+)
73840,ssRNA(+)
204928,ssRNA(+)
1886606,ssRNA(+)
2122733,ssDNA
2697535,dsDNA
2560371,dsDNA
419782,dsDNA
433462,ssRNA(+)
1031708,ssRNA(+)
2169724,ssDNA
104637,ssRNA(+)
497865,ssDNA
10640,dsDNA
39443,ssRNA(+)
12164,ssRNA(+)
11986,ssRNA(+)
551454,ssRNA(+)
82847,ssRNA(+)
940280,ssRNA(+)
1425363,ssRNA(+)
1425362,ssRNA(+)
47736,ssRNA(+)
68033,ssRNA(+)
680112,ssRNA(+)
66200,ssRNA(+)
114922,ssRNA(+)
114923,ssRNA(+)
656190,ssRNA(+)
1985374,ssDNA
137758,ssRNA(+)
39046,ssRNA(+)
1231298,ssDNA
1958957,Unknown
38062,dsDNA
1977392,ssRNA(+)
369752,ssRNA(+)
1076345,ssDNA
1667230,ssRNA(+)
10641,dsDNA
2494552,ssRNA(+)
112436,ssRNA(+)
1129032,ssDNA
228582,ssRNA(+)
2170100,ssRNA(+)
175814,dsDNA
71030,ssRNA(+)
1736759,ssDNA
222450,ssDNA
1032478,ssDNA
2185087,ssRNA(+)
1912598,ssRNA(+)
65467,ssRNA(+)
131226,ssRNA(+)
129143,ssRNA(+)
1312929,ssRNA(+)
1424279,ssRNA(+)
42882,ssRNA(+)
2074132,Unknown
1302848,ssDNA
887825,ssDNA
463360,ssDNA
328430,ssRNA(+)
2588671,ssDNA
887827,ssDNA
1568974,ssDNA
1162557,ssDNA
2010286,ssDNA
1335766,ssDNA
2010315,ssDNA
1678003,ssDNA
2560380,ssDNA
1507725,ssDNA
577124,ssDNA
1000665,ssDNA
2560381,ssDNA
1000664,ssDNA
172278,ssDNA
414528,ssRNA(+)
52280,ssRNA(+)
218282,ssRNA(+)
128818,ssRNA(+)
858516,ssDNA
10820,ssDNA
2116736,ssRNA(+)
1202142,ssDNA
129141,ssRNA(+)
312008,ssRNA(+)
12162,ssRNA(+)
1301220,ssRNA(+)
174178,dsDNA
1297894,Unknown
1214459,ssRNA(+)
1950126,ssRNA(+)
858517,ssDNA
2169824,ssDNA
326811,ssDNA
649509,ssDNA
114891,ssRNA(+)
1128119,ssRNA(+)
12177,ssRNA(+)
12198,ssRNA(+)
2340808,dsRNA
2510428,ssRNA(+)
1890365,ssRNA(+)
479060,ssRNA(+)
40979,ssRNA(+)
2161875,ssDNA
2161877,ssDNA
2161878,ssDNA
2161879,ssDNA
2161880,ssDNA
2172094,ssDNA
241525,ssRNA(+)
404404,ssRNA(+)
1775456,ssRNA(-)
91613,ssRNA(+)
10653,dsDNA
1897538,ssDNA
1297646,ssDNA
1297645,ssDNA
937809,ssRNA(+)
1177751,ssRNA(+)
1177752,ssRNA(+)
1177753,ssRNA(+)
2591696,ssRNA(+)
222456,ssDNA
307111,ssDNA
307110,ssDNA
620894,ssDNA
304222,ssDNA
222460,ssDNA
222459,ssDNA
222464,ssDNA
306025,ssDNA
674996,ssDNA
53010,ssDNA
312295,ssRNA(+)
12199,ssRNA(+)
67761,ssRNA(+)
12627,ssRNA(+)
1913124,ssRNA(+)
1913125,ssRNA(+)
292627,ssDNA
417288,ssDNA
411248,ssDNA
207697,ssDNA
671095,ssDNA
1188819,ssDNA
2560401,ssRNA(+)
146499,ssRNA(+)
12235,ssRNA(+)
165432,ssRNA(+)
12143,ssRNA(+)
1092564,ssRNA(+)
137475,ssRNA(+)
1776177,dsRNA
91753,ssRNA(+)
2005044,ssRNA(+)
1819678,ssDNA
1770618,ssRNA(+)
549205,dsDNA
1602124,ssRNA(+)
12178,ssRNA(+)
12144,ssRNA(+)
104389,ssRNA(+)
861561,ssRNA(+)
2364291,ssRNA(-)
2676436,ssRNA(-)
1985699,ssRNA(-)
213888,dsDNA
578107,ssRNA(+)
216614,ssRNA(+)
282712,ssRNA(+)
29271,ssRNA(+)
1038082,ssDNA
195059,ssRNA(-)
2562807,ssRNA(+)
547467,ssRNA(+)
1196237,ssDNA
889510,ssDNA
1619899,dsDNA
2169727,dsDNA
2011125,dsDNA
2169728,dsDNA
52996,dsDNA
2491019,ssRNA(+)
2303485,dsDNA
1247115,ssRNA(+)
1247116,ssRNA(+)
111427,ssRNA(+)
1400526,ssRNA(+)
1198144,ssRNA(+)
380669,dsDNA
2169905,ssDNA
742163,ssDNA
223265,ssDNA
2734556,ssRNA(+)
341167,ssRNA(+)
875324,ssDNA
12151,ssRNA(+)
270256,ssRNA(+)
488317,ssRNA(-)
2304214,ssRNA(+)
1569052,ssRNA(+)
1569053,ssRNA(+)
1569054,ssRNA(+)
1569055,ssRNA(+)
1569056,ssRNA(+)
167018,ssRNA(+)
2596881,ssDNA
2020881,ssDNA
2496575,ssDNA
640136,ssDNA
498805,ssDNA
73423,ssRNA(+)
638358,ssDNA
1030595,ssDNA
496807,ssDNA
390443,ssDNA
447603,ssDNA
12152,ssRNA(+)
1538549,ssRNA(+)
2586645,ssRNA(+)
2013968,ssRNA(+)
221054,ssDNA
2010319,ssDNA
186637,ssDNA
519350,ssDNA
223276,ssDNA
335404,ssDNA
436246,ssDNA
269095,ssDNA
1853865,ssDNA
2291614,ssDNA
412688,ssDNA
270117,ssDNA
2169733,ssDNA
429564,ssDNA
77811,ssDNA
291286,ssRNA(+)
1578825,ssDNA
666147,ssDNA
2093275,ssDNA
1441799,ssDNA
1453080,ssDNA
1453082,ssDNA
1453083,ssDNA
2052606,ssDNA
2283388,ssRNA(+)
1034096,dsDNA
548908,ssRNA(+)
10649,dsDNA
12179,ssRNA(+)
99585,ssRNA(+)
421012,ssRNA(+)
1200971,ssDNA
2050584,ssDNA
1218727,ssDNA
332471,ssRNA(+)
676234,ssRNA(+)
1468172,ssRNA(+)
47900,ssRNA(+)
12458,ssRNA(+)
55074,ssRNA(+)
12433,ssRNA(+)
12432,ssRNA(+)
12431,ssRNA(+)
12430,ssRNA(+)
150285,ssRNA(+)
150284,ssRNA(+)
12201,ssRNA(+)
1972994,ssRNA(+)
1884832,ssRNA(+)
157270,dsDNA
509531,ssDNA
208084,ssRNA(+)
2338396,Unknown
2169998,ssRNA(+)
2052838,dsDNA
81877,ssRNA(+)
2560515,ssRNA(+)
141860,Unknown
103722,ssRNA(+)
1906317,ssDNA
367121,ssRNA(+)
1815581,ssRNA(+)
47985,ssRNA(+)
64003,ssRNA(+)
55951,ssRNA(+)
70177,ssRNA(+)
71032,ssRNA(+)
203168,ssRNA(+)
217615,ssRNA(+)
1051792,ssRNA(+)
1381007,ssDNA
103723,ssRNA(+)
1471299,dsDNA
167634,ssRNA(+)
196400,ssRNA(+)
1343493,Unknown
630199,ssRNA(+)
1050407,dsDNA
35288,ssRNA(+)
35289,ssRNA(+)
51617,ssRNA(+)
516956,ssRNA(+)
1221437,ssRNA(+)
2045345,ssRNA(+)
2052157,ssRNA(+)
2093496,ssRNA(+)
2016034,ssRNA(+)
33761,ssRNA(+)
47740,ssRNA(+)
345030,ssRNA(-)
1324128,ssRNA(+)
409486,ssRNA(+)
1003891,ssRNA(+)
1428189,ssDNA
12171,ssRNA(+)
2184469,dsRNA
592207,ssRNA(+)
592206,ssRNA(+)
1383052,ssDNA
369762,ssRNA(+)
48876,ssRNA(+)
114892,ssRNA(+)
1459800,dsDNA
53181,ssRNA(+)
233051,ssRNA(+)
185955,ssRNA(+)
2164175,ssDNA
335963,ssRNA(+)
421010,ssRNA(+)
2282643,Unknown
199587,ssDNA
163655,ssDNA
1504732,ssDNA
944994,ssDNA
944996,ssDNA
2303390,ssDNA
943272,ssRNA(+)
435486,ssDNA
1198498,ssDNA
417192,ssDNA
180587,ssDNA
435487,ssDNA
240865,ssDNA
104263,ssRNA(+)
142843,ssRNA(+)
1774276,dsRNA
264076,dsDNA
214439,ssRNA(+)
1711684,dsRNA
1979541,ssRNA(+)
1923137,Unknown
421013,ssRNA(+)
375546,ssRNA(+)
112228,ssRNA(+)
1367218,ssDNA
2170135,ssRNA(+)
524023,ssRNA(+)
104664,ssRNA(+)
653358,ssDNA
204478,ssRNA(+)
206392,ssRNA(+)
32620,ssRNA(+)
2731270,dsDNA
1809767,ssRNA(+)
1817526,ssRNA(+)
77344,ssRNA(+)
79917,ssRNA(+)
1853762,ssRNA(+)
1960887,ssRNA(+)
1775963,ssRNA(+)
1547577,ssDNA
2169734,ssDNA
543876,ssDNA
1530093,ssDNA
569949,ssDNA
1213406,ssDNA
1485012,ssDNA
31742,ssRNA(+)
2020956,dsDNA
2093273,ssDNA
132477,ssRNA(+)
674908,ssRNA(+)
508750,ssDNA
12158,ssRNA(+)
1080799,ssRNA(+)
322053,ssRNA(+)
111970,ssRNA(+)
717848,ssRNA(+)
1468454,dsRNA
1965306,dsRNA
515320,dsDNA
42004,ssRNA(+)
58177,ssDNA
2200955,ssRNA(+)
1688637,ssRNA(+)
12202,ssRNA(+)
32612,ssRNA(-)
447171,ssRNA(+)
471285,ssRNA(-)
670251,ssDNA
478550,ssRNA(+)
1899566,ssRNA(+)
32624,ssRNA(+)
12173,ssRNA(+)
12194,ssRNA(+)
2136283,ssRNA(+)
2093276,ssDNA
447605,ssDNA
300411,ssDNA
1740165,ssDNA
217686,ssRNA(+)
154339,ssRNA(+)
365150,ssRNA(+)
2282644,Unknown
1993907,ssRNA(+)
12470,ssRNA(+)
390444,ssDNA
325113,ssDNA
325111,ssDNA
1705090,ssDNA
573615,ssRNA(+)
2054409,ssRNA(+)
48201,ssRNA(+)
1904880,ssDNA
1129034,ssDNA
1129035,ssDNA
1729670,dsRNA
1874267,dsRNA
51354,ssRNA(+)
12138,ssRNA(+)
12203,ssRNA(+)
348823,ssRNA(-)
279896,ssRNA(-)
137556,ssRNA(+)
59749,ssRNA(+)
2557970,ssDNA
1182518,ssDNA
268316,ssDNA
2025388,ssDNA
445227,ssRNA(+)
1833824,ssRNA(+)
2170101,ssRNA(+)
